"Date","sigma_hat","mu","w","a1","b1","lam_VSTOXX_1"
2000-01-14,37.4039160417786,NA,NA,NA,NA,NA
2000-01-21,36.0403585661093,NA,NA,NA,NA,NA
2000-01-28,37.9544265788605,NA,NA,NA,NA,NA
2000-02-04,39.1031810081581,NA,NA,NA,NA,NA
2000-02-11,30.0638269923396,NA,NA,NA,NA,NA
2000-02-18,30.7209781882645,NA,NA,NA,NA,NA
2000-02-25,32.6998152887089,NA,NA,NA,NA,NA
2000-03-03,33.2984305644535,NA,NA,NA,NA,NA
2000-03-10,33.7245619946291,NA,NA,NA,NA,NA
2000-03-17,33.1034117153659,NA,NA,NA,NA,NA
2000-03-24,34.2432598787774,NA,NA,NA,NA,NA
2000-03-31,31.2314691223653,NA,NA,NA,NA,NA
2000-04-07,32.5161369810505,NA,NA,NA,NA,NA
2000-04-14,35.6898378369853,NA,NA,NA,NA,NA
2000-04-21,29.2275845225799,NA,NA,NA,NA,NA
2000-04-28,30.4899131390733,NA,NA,NA,NA,NA
2000-05-05,30.7477247274359,NA,NA,NA,NA,NA
2000-05-12,30.9909734265576,NA,NA,NA,NA,NA
2000-05-19,31.1118100650119,NA,NA,NA,NA,NA
2000-05-26,25.6658606530171,NA,NA,NA,NA,NA
2000-06-02,27.2901624863847,NA,NA,NA,NA,NA
2000-06-09,30.7568382783763,NA,NA,NA,NA,NA
2000-06-16,28.9375908493736,NA,NA,NA,NA,NA
2000-06-23,22.7394994415028,NA,NA,NA,NA,NA
2000-06-30,24.5135817773265,NA,NA,NA,NA,NA
2000-07-07,26.4318692291908,NA,NA,NA,NA,NA
2000-07-14,27.4597703311763,NA,NA,NA,NA,NA
2000-07-21,23.7493366863803,NA,NA,NA,NA,NA
2000-07-28,24.1245894447138,NA,NA,NA,NA,NA
2000-08-04,18.6149094508354,NA,NA,NA,NA,NA
2000-08-11,19.6718988332458,NA,NA,NA,NA,NA
2000-08-18,22.5843338586705,NA,NA,NA,NA,NA
2000-08-25,23.1521485484865,NA,NA,NA,NA,NA
2000-09-01,21.3333017264263,NA,NA,NA,NA,NA
2000-09-08,21.2234578741617,NA,NA,NA,NA,NA
2000-09-15,21.1773323269096,NA,NA,NA,NA,NA
2000-09-22,21.8091326334089,NA,NA,NA,NA,NA
2000-09-29,24.405470948544,NA,NA,NA,NA,NA
2000-10-06,25.983027373267,NA,NA,NA,NA,NA
2000-10-13,22.7534354659535,NA,NA,NA,NA,NA
2000-10-20,27.2119909301512,NA,NA,NA,NA,NA
2000-10-27,29.8008548203708,NA,NA,NA,NA,NA
2000-11-03,27.1455778290533,NA,NA,NA,NA,NA
2000-11-10,30.9132311494791,NA,NA,NA,NA,NA
2000-11-17,32.3152097490996,NA,NA,NA,NA,NA
2000-11-24,27.0893689003744,NA,NA,NA,NA,NA
2000-12-01,29.9894207848789,NA,NA,NA,NA,NA
2000-12-08,31.3804974450025,NA,NA,NA,NA,NA
2000-12-15,32.4946732567151,NA,NA,NA,NA,NA
2000-12-22,33.7039018538788,NA,NA,NA,NA,NA
2000-12-29,32.4431827746792,NA,NA,NA,NA,NA
2001-01-05,34.7127522696576,NA,NA,NA,NA,NA
2001-01-12,36.3584055209229,NA,NA,NA,NA,NA
2001-01-19,36.491024314701,NA,NA,NA,NA,NA
2001-01-26,31.1101993308838,NA,NA,NA,NA,NA
2001-02-02,29.5541475323969,NA,NA,NA,NA,NA
2001-02-09,29.7903612705605,NA,NA,NA,NA,NA
2001-02-16,22.9968227799234,NA,NA,NA,NA,NA
2001-02-23,22.8701016454504,NA,NA,NA,NA,NA
2001-03-02,26.3798501926497,NA,NA,NA,NA,NA
2001-03-09,25.9538681276319,NA,NA,NA,NA,NA
2001-03-16,26.9074739807328,NA,NA,NA,NA,NA
2001-03-23,31.0844463016512,NA,NA,NA,NA,NA
2001-03-30,34.432348897223,NA,NA,NA,NA,NA
2001-04-06,39.1378466168016,NA,NA,NA,NA,NA
2001-04-13,37.0394463010823,NA,NA,NA,NA,NA
2001-04-20,38.6000109742847,NA,NA,NA,NA,NA
2001-04-27,33.628458633952,NA,NA,NA,NA,NA
2001-05-04,34.4475858862642,NA,NA,NA,NA,NA
2001-05-11,33.7981037240712,NA,NA,NA,NA,NA
2001-05-18,34.2361129438489,NA,NA,NA,NA,NA
2001-05-25,32.2054364483765,NA,NA,NA,NA,NA
2001-06-01,31.8217320917437,NA,NA,NA,NA,NA
2001-06-08,30.8996394907261,NA,NA,NA,NA,NA
2001-06-15,29.2804936839995,NA,NA,NA,NA,NA
2001-06-22,30.916110994701,NA,NA,NA,NA,NA
2001-06-29,26.5161549379509,NA,NA,NA,NA,NA
2001-07-06,22.3058886351212,NA,NA,NA,NA,NA
2001-07-13,25.2123363741615,NA,NA,NA,NA,NA
2001-07-20,26.6071447631749,NA,NA,NA,NA,NA
2001-07-27,28.7151848029043,NA,NA,NA,NA,NA
2001-08-03,29.1695029028426,NA,NA,NA,NA,NA
2001-08-10,30.6533506634566,NA,NA,NA,NA,NA
2001-08-17,32.7968063428128,NA,NA,NA,NA,NA
2001-08-24,29.2224491205623,NA,NA,NA,NA,NA
2001-08-31,32.2446611549465,NA,NA,NA,NA,NA
2001-09-07,33.2576313831376,NA,NA,NA,NA,NA
2001-09-14,38.1313922015689,NA,NA,NA,NA,NA
2001-09-21,46.9923573440641,NA,NA,NA,NA,NA
2001-09-28,56.7610261399179,NA,NA,NA,NA,NA
2001-10-05,66.6462286124748,NA,NA,NA,NA,NA
2001-10-12,57.455031248601,NA,NA,NA,NA,NA
