Date,Omega,Alpha,Beta,d,Mu,FSI
2015-04-24,43.54504205747321,0.13751821573433615,0.8430250629909897,8.637561550421944,2.107942772246194,12.837978151623915
2015-05-01,43.53446509691082,0.1372500522020065,0.8432846361132995,8.71096675296568,2.169555349531295,12.86338384089996
2015-05-08,44.365384753206094,0.1388911043314529,0.8413954023969341,8.564756508894083,2.2223551627147304,13.116043978129639
2015-05-15,44.38183542253591,0.13908935385631402,0.8413926916670268,8.491338995224506,2.308296934062135,13.166027694567212
2015-05-22,47.03243734422686,0.1421221905702213,0.8367883664075809,8.501999641617036,2.3288025232484406,14.015678466874531
2015-05-29,48.537812724672875,0.14317248190051265,0.8345536897017775,8.499176068293965,2.3150569200887565,14.506160001219278
2015-06-05,48.51374450097829,0.14117072654193202,0.8363310447406663,8.57188493050705,2.215998692836555,14.532053883295182
2015-06-12,49.32026975996443,0.14113654451968896,0.8355806121291052,8.59716842205374,2.163614005974577,14.836094854629167
2015-06-19,50.48240686085271,0.14192526128046937,0.8338532283822164,8.590511843006716,2.1245402255896786,15.231182728653089
2015-06-26,50.99393410594055,0.1417285644405955,0.8335423732594383,8.640145436471062,2.104433859525829,15.416168689172425
2015-07-03,49.65675026042108,0.13803589251375778,0.8384492516131614,8.622878682848786,2.165228756779227,14.960141960719039
2015-07-10,50.3481555273216,0.13999469040887816,0.8367408775486178,8.721290933738388,2.1114112020943065,15.105710722752557
2015-07-17,50.32185304902362,0.13924116205258152,0.8373436292619739,8.646017644609092,2.1789168724474566,15.144208771291119
2015-07-24,50.21352612827645,0.1390356524659425,0.8378761935480011,8.595181405551777,2.1576259693495206,15.142593121061074
2015-07-31,51.258670908404476,0.14002039805787164,0.8363785265734556,8.635976130808288,2.1229748421926584,15.50861607345555
2015-08-07,53.1192277412338,0.14151175595466287,0.8336638665661518,8.568623304451432,2.1456906537546083,16.111037565617078
2015-08-14,54.19557435725347,0.14082355182545753,0.8332747324918888,8.616369928974763,2.1183125341299966,16.527889892383385
2015-08-21,54.195584899807514,0.1402909133877741,0.8338431136012087,8.616468795625467,2.1179844622806803,16.52788479903656
2015-08-28,54.2049082357354,0.13994290228070763,0.8347429086974125,8.753915314118107,1.979327684063067,16.512640601278516
2015-09-04,54.197926313447034,0.1382261609541103,0.8358716716688862,8.79244366904001,1.979039461214501,16.53650952984906
2015-09-11,54.207386259454076,0.13938368907078924,0.835172189248584,8.838295389174078,1.9937029000009903,16.5285265486466
2015-09-18,54.161980248712254,0.13757472772775456,0.8366832551421047,8.709930138769971,1.9114768822698678,16.56573805919832
2015-09-25,54.17065365280916,0.1390727478113278,0.83564188836526,8.794008589940724,1.8560869636092816,16.575855367592307
2015-10-02,58.79419686497796,0.14225367613681988,0.8295377828597914,8.830048333563004,1.807395827518132,18.068302902203577
2015-10-09,58.785736970336664,0.14097271646098386,0.8305126463632169,8.771203917191853,1.8289683964366474,18.119360542606515
2015-10-16,60.16651393251823,0.14069702070982182,0.8304818217974449,8.814593580646346,1.8883752968937317,18.709386911481463
2015-10-23,61.41701774219884,0.14017152640040906,0.8299137645913374,8.80740257117425,1.8355621824998294,19.174751300850605
2015-10-30,62.93476993045996,0.13980660194342287,0.8289503659154576,8.84678869508591,1.8381044657297554,19.71397277953983
2015-11-06,64.2286332014314,0.13913438948804804,0.8284757226198676,8.924632300235547,1.7785735813388757,20.190360261417876
2015-11-13,64.70260871246195,0.13852843345428967,0.8284417317917145,8.998849717033938,1.8105432116233253,20.340229870235653
2015-11-20,66.27428105359886,0.13801272148662824,0.8278459629355526,9.14518928007109,1.732588396726126,20.92221933105242
2015-11-27,66.27308567774905,0.13754793540158147,0.8282088467073875,9.021375146874695,1.6678886206241934,20.92624974024526
2015-12-04,69.59184874345036,0.13994418884310794,0.8239210077861927,9.022910421499118,1.6262517719221345,22.039259743025486
2015-12-11,69.5949719231229,0.13909000014667566,0.8244190416242039,9.15860408349934,1.5821322726996383,22.042848653047628
2015-12-18,71.69373744238123,0.138676572543095,0.8239903319248992,9.239415519168642,1.5459864058146724,22.80905076258057
2015-12-25,71.69554565542873,0.13813389000701912,0.8242470469175951,9.311758027908343,1.5534224588383139,22.816020638246403
2016-01-01,71.69490442913956,0.1378123112186342,0.8242593568913537,9.295160249284942,1.5808677280463,22.807645275280873
2016-01-08,69.11600771172999,0.13732001825005247,0.82645836678104,9.126225790918008,1.6415751432758485,21.938037253612247
2016-01-15,69.09088325359981,0.1366754024075733,0.8290121103257513,8.771446769220054,1.5673457410981126,22.095979352534243
2016-01-22,66.94256509110447,0.13628293994066878,0.8303553192199348,8.942365207037495,1.5575599248231897,21.2845532318922
2016-01-29,63.594644833498165,0.13549005893941676,0.8329304254838116,9.011571558033438,1.6251723352055323,20.109162951271248
2016-02-05,65.045849984701,0.13483600085798797,0.8328050634081655,9.030268968807308,1.562297140495609,20.702497472248282
2016-02-12,65.103466393705,0.1380061528792112,0.8300315255580021,9.12298306210828,1.5468967509475515,20.58494592146694
2016-02-19,66.6476150047911,0.13989379381070857,0.8277295010700205,9.073088402852797,1.4765939435384907,21.094519451399307
2016-02-26,66.61493636696626,0.13874687065425736,0.8287829482905401,9.082251978192529,1.4671165102518722,21.143684507832123
2016-03-04,66.64779609281612,0.1397952779140136,0.8278180984396577,9.110127974643543,1.5150736359933408,21.11160329545838
2016-03-11,66.64090322599701,0.14124680437910977,0.8274281258708727,9.059696968548579,1.6187982831077883,21.223387063314124
2016-03-18,66.9959805800237,0.14173320513545387,0.8270371353103555,9.1143641939703,1.6816636296071361,21.38840003232785
