Date,Omega,Alpha,Beta,d,Mu,FSI
2015-04-24,1e-12,0.13968805993881528,0.8526270149229781,8.196866542978372,2.1730933499192813,1.2221247846815797
2015-05-01,1.0000069857739426e-12,0.1395203583653105,0.8526836314938699,8.260314399573632,2.2317853935968888,1.2259207855721066
2015-05-08,1.0000019995844055e-12,0.14111979284946957,0.8511699100763662,8.124947482353527,2.2857577812794982,1.242882307846987
2015-05-15,1.0000020344900165e-12,0.14172595557143347,0.8505058189526093,8.06305292917736,2.373309312915902,1.2581488170375987
2015-05-22,1.0000033599641798e-12,0.14439958526249477,0.8472415902343022,8.060485304069582,2.3964997617861163,1.310362710599529
2015-05-29,1e-12,0.14543983488013562,0.8455275091147959,8.05622403218658,2.3825804985589234,1.3434563038714926
2015-06-05,1.000004000398969e-12,0.14356615864817784,0.8471527525675511,8.111454316591365,2.288098081800598,1.3402493528706654
2015-06-12,1.0000018712074583e-12,0.143829098322733,0.8461487322741031,8.132584785425765,2.235931064918297,1.371137523769552
2015-06-19,1.0000014993767287e-12,0.1447678283037401,0.8446600995559547,8.12640593708146,2.199342165125337,1.3979747917040815
2015-06-26,1e-12,0.1447414459807404,0.8443578961805123,8.161281443594874,2.1835418174502186,1.409297742698077
2015-07-03,1.0000019711906565e-12,0.14141100349929533,0.8479842618609612,8.170989173257981,2.230071795484989,1.394235872736912
2015-07-10,1.0000018382133225e-12,0.14315337956312207,0.8459915782214544,8.276191569899304,2.1802410944506643,1.4418688970772306
2015-07-17,1.0000008491186468e-12,0.14227236001565186,0.8471822219712869,8.193307238400807,2.249344112220351,1.4157633208146028
2015-07-24,1.0000011540267896e-12,0.14224213125199645,0.8473685623961174,8.147599095297213,2.220884916789694,1.4200760588884525
2015-07-31,1.0000000683321623e-12,0.1435108695297794,0.8454672840526718,8.185384026496978,2.1883671728191394,1.4675094736423129
2015-08-07,1.0000080422415852e-12,0.14447319162644504,0.8444349179782087,8.10854102169245,2.216575313562724,1.475953105145283
2015-08-14,1e-12,0.14381205468903271,0.8444558976216662,8.137406047093316,2.192758045285131,1.4934323577254627
2015-08-21,1.0000032983807116e-12,0.14345266776287605,0.8443436082540666,8.227841449580993,2.1200578453250247,1.5094900289161368
2015-08-28,1.0000039593983557e-12,0.14332826711997884,0.844695256063727,8.285300762026637,2.0518122617830366,1.527897740762513
2015-09-04,1e-12,0.1417585186575142,0.8459187942516293,8.315574837412834,2.0555331337439093,1.5151259362516936
2015-09-11,1.0000044972246505e-12,0.14311812181246342,0.844791857303187,8.349419611561961,2.072516603943221,1.5285029109184747
2015-09-18,1e-12,0.14095627489708387,0.8470941973912017,8.237186876301156,1.989474823794394,1.4970327679971958
2015-09-25,1e-12,0.1438587877281209,0.8435898443919869,8.319150671519061,1.930793777331242,1.5686886412180916
2015-10-02,1.0000008543348536e-12,0.1455160218702498,0.8415568702407452,8.322630043368386,1.88846432235414,1.5976568574671652
2015-10-09,1e-12,0.14441079626190295,0.8425896692565512,8.25854357973938,1.916072884428373,1.585262844465325
2015-10-16,1.0000077870828157e-12,0.14427256064775917,0.8428148708912129,8.286514283692284,1.9680244435013745,1.6079792979220755
2015-10-23,1.000000555822737e-12,0.14359299007403883,0.8430831883236451,8.270247986628489,1.91376770982027,1.6161485749402051
2015-10-30,1e-12,0.14284442038570397,0.8434946245250473,8.297767750373616,1.9227355241821813,1.6145045540367315
2015-11-06,1.0000143813294572e-12,0.1420143113067269,0.8439301313925729,8.367509399540156,1.8645368702964267,1.6177586412731397
2015-11-13,1e-12,0.1416396436301646,0.8439825140932471,8.428600365441861,1.893957409717907,1.6207516307502345
2015-11-20,1e-12,0.1411518407277907,0.844220734812328,8.547226413228996,1.818517457547358,1.6301294240569704
2015-11-27,1e-12,0.1410477110121512,0.8443810202437325,8.416479917708731,1.7436631739461013,1.626777868246576
2015-12-04,1e-12,0.14455204097304614,0.8390886503096775,8.40961655999557,1.6883649275322714,1.7599834186315992
2015-12-11,1.0000047269607229e-12,0.14190966455348675,0.8427300677835978,8.530995818250995,1.6659739441796002,1.6629772365874436
2015-12-18,1.0000035155563681e-12,0.14140065542194188,0.8435351884521944,8.587645375105378,1.6476509639708459,1.6710903654038713
2015-12-25,1e-12,0.14130965357615086,0.8434578170595486,8.650123357856732,1.6502789279941636,1.6684503316459172
2016-01-01,1.0000022668085323e-12,0.1407143777024722,0.8446335666743605,8.619998175876491,1.700499715417239,1.6199554596687669
2016-01-08,1e-12,0.14080574051898767,0.8453907498241999,8.463776629546148,1.7698227092279664,1.5773356221551937
2016-01-15,1e-12,0.14041674556549685,0.8467775644646096,8.112236208391568,1.6646427257627767,1.6109841162675764
2016-01-22,1e-12,0.1386053540220357,0.849472696476361,8.341940414224773,1.6761800419200574,1.5114876110540294
2016-01-29,1.0000020277521005e-12,0.1382262089924199,0.8502234822190808,8.532557219514189,1.7410265677961894,1.458997955694245
2016-02-05,1.0000055842002392e-12,0.13905142909512588,0.8482704371400199,8.519893711815783,1.6592692647618676,1.5467717202058797
2016-02-12,1e-12,0.1400190403617145,0.8482413254903496,8.641100655124232,1.6630780378126688,1.4922686220856825
2016-02-19,1.000004575847527e-12,0.14182759669489728,0.8466005340632942,8.584887283969573,1.591932887874771,1.5175501753779135
2016-02-26,1e-12,0.1409096576241795,0.8474291333339286,8.593405549189832,1.5863813505905355,1.5157626588409556
2016-03-04,1.0000028680573528e-12,0.14187766006982125,0.8464601998239047,8.618869290707677,1.6328308563367355,1.5203235621802125
