"Date","sigma_hat","mu","w","a1","b1","lam_VSTOXX_1","lam_Euribor6m_1"
2001-08-17,30.6965937341594,NA,NA,NA,NA,NA,NA
2001-08-24,27.1258750935363,NA,NA,NA,NA,NA,NA
2001-08-31,30.2166219724057,NA,NA,NA,NA,NA,NA
2001-09-07,31.2785522952006,NA,NA,NA,NA,NA,NA
2001-09-14,36.3318002725832,NA,NA,NA,NA,NA,NA
2001-09-21,45.8184319511412,NA,NA,NA,NA,NA,NA
2001-09-28,56.6123477793088,NA,NA,NA,NA,NA,NA
2001-10-05,67.6978092148517,NA,NA,NA,NA,NA,NA
2001-10-12,57.8344118587865,NA,NA,NA,NA,NA,NA
2001-10-19,58.3022408800731,NA,NA,NA,NA,NA,NA
2001-10-26,59.3102129280224,NA,NA,NA,NA,NA,NA
2001-11-02,63.0124555850314,NA,NA,NA,NA,NA,NA
2001-11-09,61.3697855469766,NA,NA,NA,NA,NA,NA
2001-11-16,62.7005363518719,NA,NA,NA,NA,NA,NA
2001-11-23,63.8343628899946,NA,NA,NA,NA,NA,NA
2001-11-30,56.672154977782,NA,NA,NA,NA,NA,NA
2001-12-07,55.9125343977004,NA,NA,NA,NA,NA,NA
2001-12-14,56.0531982760236,NA,NA,NA,NA,NA,NA
2001-12-21,57.8113060340171,NA,NA,NA,NA,NA,NA
2001-12-28,53.2243429385478,NA,NA,NA,NA,NA,NA
2002-01-04,51.4739857836673,NA,NA,NA,NA,NA,NA
2002-01-11,48.19814422936,NA,NA,NA,NA,NA,NA
2002-01-18,46.8644727354198,NA,NA,NA,NA,NA,NA
2002-01-25,42.7281884786925,NA,NA,NA,NA,NA,NA
2002-02-01,42.2179782054693,NA,NA,NA,NA,NA,NA
2002-02-08,32.2777752371437,NA,NA,NA,NA,NA,NA
2002-02-15,36.2889093613807,NA,NA,NA,NA,NA,NA
2002-02-22,36.3411385557709,NA,NA,NA,NA,NA,NA
2002-03-01,38.0136494597506,NA,NA,NA,NA,NA,NA
2002-03-08,41.6175845877548,NA,NA,NA,NA,NA,NA
2002-03-15,42.1304350224941,NA,NA,NA,NA,NA,NA
2002-03-22,38.9042072390487,NA,NA,NA,NA,NA,NA
2002-03-29,36.8701647093694,NA,NA,NA,NA,NA,NA
2002-04-05,35.2277409440822,NA,NA,NA,NA,NA,NA
2002-04-12,33.6180456494506,NA,NA,NA,NA,NA,NA
2002-04-19,27.8699711228072,NA,NA,NA,NA,NA,NA
2002-04-26,30.9516228512864,NA,NA,NA,NA,NA,NA
2002-05-03,32.1744081643345,NA,NA,NA,NA,NA,NA
2002-05-10,31.3733802250332,NA,NA,NA,NA,NA,NA
2002-05-17,30.5639824337132,NA,NA,NA,NA,NA,NA
2002-05-24,31.2514155012395,NA,NA,NA,NA,NA,NA
2002-05-31,32.9322890368027,NA,NA,NA,NA,NA,NA
2002-06-07,29.0016550025461,NA,NA,NA,NA,NA,NA
2002-06-14,32.4865347855179,NA,NA,NA,NA,NA,NA
2002-06-21,36.6166430416558,NA,NA,NA,NA,NA,NA
2002-06-28,36.0591283269118,NA,NA,NA,NA,NA,NA
2002-07-05,36.9210735110541,NA,NA,NA,NA,NA,NA
2002-07-12,34.0305096433884,NA,NA,NA,NA,NA,NA
2002-07-19,41.3411624529752,NA,NA,NA,NA,NA,NA
2002-07-26,49.1641336004042,NA,NA,NA,NA,NA,NA
2002-08-02,57.8776122926972,NA,NA,NA,NA,NA,NA
2002-08-09,53.8783091250999,NA,NA,NA,NA,NA,NA
2002-08-16,62.2482857290243,NA,NA,NA,NA,NA,NA
2002-08-23,57.3973961963514,NA,NA,NA,NA,NA,NA
2002-08-30,60.3257158610513,NA,NA,NA,NA,NA,NA
2002-09-06,61.2558943904458,NA,NA,NA,NA,NA,NA
2002-09-13,67.9999345990876,NA,NA,NA,NA,NA,NA
2002-09-20,68.6358797700571,NA,NA,NA,NA,NA,NA
2002-09-27,78.3598585103207,NA,NA,NA,NA,NA,NA
2002-10-04,82.9984493243011,NA,NA,NA,NA,NA,NA
2002-10-11,94.5089089700763,NA,NA,NA,NA,NA,NA
2002-10-18,100.259805716743,NA,NA,NA,NA,NA,NA
2002-10-25,106.74129060082,NA,NA,NA,NA,NA,NA
2002-11-01,101.560629039428,NA,NA,NA,NA,NA,NA
2002-11-08,93.5413835571845,NA,NA,NA,NA,NA,NA
2002-11-15,69.4603911210412,NA,NA,NA,NA,NA,NA
2002-11-22,70.644778726829,NA,NA,NA,NA,NA,NA
2002-11-29,73.0300162088335,NA,NA,NA,NA,NA,NA
2002-12-06,67.3297221683245,NA,NA,NA,NA,NA,NA
2002-12-13,69.9672192935263,NA,NA,NA,NA,NA,NA
2002-12-20,71.6263724862724,NA,NA,NA,NA,NA,NA
2002-12-27,68.642132529767,NA,NA,NA,NA,NA,NA
2003-01-03,68.8329163618693,NA,NA,NA,NA,NA,NA
2003-01-10,73.4126952925332,NA,NA,NA,NA,NA,NA
2003-01-17,54.0036950563025,NA,NA,NA,NA,NA,NA
2003-01-24,56.2701650669299,NA,NA,NA,NA,NA,NA
