Date,Omega,Alpha,Beta,Eta,d,Mu,FSI
2018-01-12,27.230811545804773,5.397678213996326e-12,0.9134676629472965,0.1549327853502071,12.850841652439449,1.3923883327241164,-0.9743107751444983
2018-01-19,31.108997176615237,1.3281009512698705e-16,0.9136735249575256,0.1558723621819268,12.50565764059562,1.5337079789119088,-1.2235263172807553
2018-01-26,27.90458354666731,6.25490633106862e-12,0.9133361550493211,0.15584233497574,12.700527727553602,1.4912556559031984,-1.0225942316624874
2018-02-02,31.35899345963862,7.317805877465585e-16,0.9090519450527264,0.16523798966216366,12.131084850982207,1.5139630629483833,-1.1978062328802364
2018-02-09,32.38493415321224,4.516470233184469e-12,0.9119454676035985,0.16062453652346165,12.326176786818726,1.4609786405268987,-1.2806685965447564
2018-02-16,33.077003633019366,0.0,0.9134517595283073,0.15877255251530245,12.53863819165655,1.4074513373571969,-1.3288466943823907
2018-02-23,32.842518317185295,0.0,0.914476571399493,0.15651275872415563,12.581825489962222,1.4255352920525381,-1.328540245408185
2018-03-02,32.20629469663589,8.094388712924253e-13,0.9156520704046721,0.1539106413680227,12.6044790988148,1.4102542851817044,-1.301728820117642
2018-03-09,32.003590045607176,8.894801821009802e-14,0.9160467459509342,0.15333685393334354,12.65702457771941,1.3462816178087176,-1.286193751459433
2018-03-16,31.387502479278506,1.096838780568032e-11,0.9170119851603168,0.15106857720356948,12.7096079194913,1.3397240120391642,-1.258537806905953
2018-03-23,30.841201040498614,1.4009589445893787e-13,0.9176669299866155,0.14947167272304648,12.600840403280365,1.3552369799757726,-1.2337566418847088
2018-03-30,29.68598880707236,2.639661174167515e-11,0.9170114426650705,0.15076174952342214,12.813865866580665,1.3095393758589262,-1.1419806492601683
2018-04-06,30.724254792889255,1.1619252879825963e-11,0.9173768446230816,0.1504182636635595,12.739697935552753,1.319955371576986,-1.2165930565560923
2018-04-13,31.362460949889048,4.059141699804836e-12,0.9178625782820685,0.14957995938412222,12.63701677823552,1.3380744894538237,-1.2668149063860623
2018-04-20,30.50965796827397,2.3867393775420643e-11,0.9183381611919119,0.14819725687310886,12.587834200684924,1.326680141117618,-1.2161010739351217
2018-04-27,30.524868439181365,0.0,0.918591765645848,0.14752197926553845,12.650017672243933,1.354973596831049,-1.2242818637803552
2018-05-04,30.155835217137515,1.563878972755253e-11,0.91877551427777,0.1468371719914683,12.594551796625822,1.3629584716480565,-1.2034740190304227
2018-05-11,28.71017833823543,1.940572088239302e-12,0.918748024557751,0.1460218838704526,12.478831841599245,1.386213660909944,-1.1111554568086144
2018-05-18,26.486113703012112,0.0,0.918120497701589,0.14578949770995106,12.594712175565142,1.3956241582549795,-0.9592408191382185
2018-05-25,31.54760279456714,1.9941053080910586e-11,0.9181790306109276,0.1489260183955123,12.451859581096064,1.3521928260060045,-1.2889357489826356
2018-06-01,31.141141202882388,1.6091681030544595e-11,0.918002281446127,0.1493385750559091,12.620712219664231,1.288305018617336,-1.2519583523724245
2018-06-08,31.952985163555226,3.286643209071616e-12,0.9170629338204995,0.15194406882290956,12.77179030109334,1.2421590819896788,-1.291072714781695
2018-06-15,31.490932980025534,4.938855715013317e-12,0.9176633589363982,0.15034132473292916,12.830693691941148,1.2400559767640877,-1.266550180940626
2018-06-22,30.901767569719567,5.769049946730585e-12,0.9183301464777086,0.14851464891924848,12.649565974770345,1.2835953920691336,-1.2374882601897432
2018-06-29,25.98838548679045,0.0,0.9194528805953648,0.14312334686928652,12.823807325688048,1.2711540690593197,-0.9127803342921075
2018-07-06,32.61399478256392,0.0,0.9178276869344402,0.1505938990452851,12.20997367638187,1.1966779095782,-1.3412772133802497
2018-07-13,31.827085183954196,0.0,0.9185366951035602,0.14863974754690976,12.102234744976945,1.2523422953186476,-1.3022049292503022
2018-07-20,27.49835070908099,0.0,0.9182141336589436,0.14673667276356453,12.318738619271484,1.2110635446294098,-0.9995301461641295
2018-07-27,31.90884113159568,1.7523792677677392e-12,0.9170248646213032,0.15189353788323678,11.978461040086486,1.1698706885980288,-1.290215126918189
2018-08-03,31.394459775838083,0.0,0.9178783782778835,0.1501012740376039,12.092505003088487,1.1973502864024406,-1.2674936767035518
2018-08-10,30.328993053600264,0.0,0.9184623906159545,0.14817293031254622,12.186543425148042,1.1773283198418296,-1.2008923142088983
2018-08-17,29.961160822994927,1.546863287306731e-11,0.9190569054473104,0.14706282367470347,12.373227827587744,1.1215811788359416,-1.1759109819550722
2018-08-24,29.63458392303686,1.0904771980428404e-11,0.9193012150216074,0.14654395102972395,12.578698127791547,1.0860211709082346,-1.152340534064426
2018-08-31,28.70976526993153,0.0,0.9197253808553398,0.14499162600217355,12.594153331976162,1.071098325639422,-1.0923770823331374
2018-09-07,28.189018921359118,4.502021166745036e-12,0.9199164592350055,0.14420076514921662,12.520506960001564,1.0862458640056092,-1.0598328236086412
2018-09-14,23.878981902135514,1.410938698004693e-11,0.9192005758061327,0.1423852879681613,12.6256857926749,1.049665863913463,-0.7462530665439164
2018-09-21,28.565094678176287,1.3201959495595288e-11,0.9195414711925131,0.14526647353167182,12.259563886077212,1.0322037219781064,-1.0798554200797355
2018-09-28,28.54791028205189,9.816136752617761e-12,0.9200949681848442,0.14431513679457073,12.403270694093345,1.0650617886373723,-1.0850223081286725
2018-10-05,28.548507689430252,0.0,0.9205909583855737,0.1438964930070616,12.542091640196315,0.9902325080633821,-1.0807781081452215
2018-10-12,27.524528550295578,0.0,0.9209233476998812,0.14239883521806357,12.544050438491219,0.9953997548388442,-1.0142352463528481
2018-10-19,25.802269862880134,1.2371374225119325e-11,0.9205438632980141,0.14184656987822278,12.709711443134381,0.9819496213756795,-0.8872493974339098
